"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Montenegro","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",42.86,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Mongolia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",46.94,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Mozambique","HIES - Household Budget Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",37.23,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Mauritania","HIES - Living Standards Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2019",47.59,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Montserrat","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",38.99,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Mauritius","LFS - Continuous Multi-Purpose Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",38.34,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Malawi","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",28.03,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 64 years old"
"Malaysia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",44.7,,,"Employment definition: Excluding own-use production workers | Job coverage: Main job currently held",
"Namibia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2018",44.91,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"New Caledonia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",37.2,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Niger","LFS - National Survey on Employment and the Informal Sector","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2017",39.72,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Nigeria","HS - General Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",33.5,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Nicaragua","LFS - Continous Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2012",36.45,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Niue","PC - Population Census","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",33.61,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Netherlands","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",31.03,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
