"Variable","Total","Missing","MissingPercent","CoveragePercent"
"Share.of.people.who.attend.religious.services.frequently",1022,938,91.7808219178082,8.21917808219177
"hrs worked",1022,907,88.747553816047,11.252446183953
"SafetyAfterDark",1022,810,79.2563600782779,20.7436399217221
"AverageRetirementAge",1022,481,47.0645792563601,52.9354207436399
"HomicideRate",1022,459,44.9119373776908,55.0880626223092
"SunshineHours",1022,186,18.1996086105675,81.8003913894325
"AverageVacationDays_PaidPublicHolidays_days_YearFree",1022,184,18.0039138943249,81.9960861056751
"AverageVacationDays_MinimumTotalPaidLeave_days_YearFree",1022,44,4.30528375733855,95.6947162426614
"AverageVacationDays_LegallyRequiredMinimumPaidVacationDaysPerYear_days_YearFree",1022,37,3.62035225048924,96.3796477495108
